Image Link,Brand,Item Link,Item Name,Current Price,Previous Price,Savings,Shipping Price,Item rating,Number of ratings
https://c1.neweggimages.com/ProductImageCompressAll300/AVA3S23020806PTL460.jpg,GAMEMAX,https://www.newegg.com/p/1HU-0289-00049?Item=9SIAVA3JSS2042&cm_sp=SP-_-1766284-_-0-_-2-_-9SIAVA3JSS2042-_-power supply-_-power|supply-_-9,"GAMEMAX 1300W Power Supply, ATX 3.0 & PCIE 5.0 Ready, 80+ Platinum Certified, Addressable RGB with 5V Motherboard Sync, 105°C-Rated Japanese Capacitors, Fully Modular, 10 Year Warranty, RGB-1300",$259,,,$9.00 Shipping,rated 4.5 out of 5,180
https://c1.neweggimages.com/ProductImageCompressAll300/17-701-017-07.jpg,MSI,https://www.newegg.com/msi-mpg-a850g-pcie5-850-w/p/N82E16817701017,"MSI - MPG A850G PCIE 5.0, 80 GOLD Full Modular Gaming PSU, 12VHPWR Cable, 4080 4070 ATX 3.0 Compatible, 850W Power Supply",$129,$159.99,18%,Free Shipping,rated 4.5 out of 5,111
https://c1.neweggimages.com/ProductImageCompressAll300/AM7KS2212200KT67Z87.jpg,segotep,https://www.newegg.com/segotep-gm850-white/p/1HU-00Z0-000S2,"Segotep 850W White PCIe 5.0 Full Modular 80 Plus Gold PSU ATX 3.0 Gaming Power Supply, 12VHPWR Cable, 12+4PIN port and Dual 6+2Pin ports for Different Graphics Cards, Silent Fan mode",$115,$139.99,17%,Free Shipping,rated 4.1 out of 5,67
https://c1.neweggimages.com/ProductImageCompressAll300/B41TS2306280NJTHL8C.jpg,SAMA (Case & Power Supply),https://www.newegg.com/sama-xp-series-xp1000w-1000-w/p/1HU-02S6-00039?Item=9SIB41TJUN7392&cm_sp=SV-_-1974058-_-0-_-2-_-9SIB41TJUN7392-_-power supply-_-power|supply-_-1,SAMA Platinum 1000W PC Power Supply ATX3.0 PCIE5.0 12VHPWR Full Voltage 80Plus Platinum Certified PSU ECO Mode ATX Power for 3090Ti 4070Ti 4080 4090 Black,$129,$131.99,,Free Shipping,rated 5 out of 5,4
https://c1.neweggimages.com/ProductImageCompressAll300/AVA3S2303270EOEG5C6.jpg,GAMEMAX,https://www.newegg.com/gamemax-rgb-1050-1050w/p/1HU-0289-00037?Item=9SIAVA3FD04627&cm_sp=SP-_-1874695-_-0-_-2-_-9SIAVA3FD04627-_-power supply-_-power|supply-_-12,"GAMEMAX 1050W ATX 3.0 & PCIE 5.0 Power Supply, 80+ Gold Certified, Addressable RGB with 5V Motherboard Sync, Fully Modular ATX Gaming Power Supply, 10 Year Warranty, RGB-1050",$179,,,$9.00 Shipping,rated 4.5 out of 5,180
https://c1.neweggimages.com/ProductImageCompressAll300/17-438-251-09.jpg,EVGA,https://www.newegg.com/evga-ftw-series-535-5g-1000-k1-1000-w/p/N82E16817438251,"EVGA SuperNOVA 1000G FTW, 80 Plus Gold 1000W, Fully Modular, 3 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, Power Supply 535-5G-1000-K1",$219,,,Free Shipping,,
https://c1.neweggimages.com/ProductImageCompressAll300/AE86S211213SSKCo.jpg,,https://www.newegg.com/p/1HU-033H-00001?Item=9SIBGX1J9Z4588&cm_sp=SP-_-1819109-_-0-_-2-_-9SIBGX1J9Z4588-_-power supply-_-power|supply-_-14,"GPNE 1600W ATX Power Supply, Fully Modular PSU for Gaming PC Case, 6 x 6+2 Pin PCIE ports, Lower Noise 140mm Double Ball Bearing Fan",$139,,,Free Shipping,rated 5 out of 5,1
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-301-08.png,Corsair,https://www.newegg.com/corsair-rm850e-cp-9020263-na-850-w/p/N82E16817139306,CORSAIR RM850e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold Efficiency - Modern Standby Support,$129,,,Free Shipping,rated 4.7 out of 5,480
https://c1.neweggimages.com/ProductImageCompressAll300/17-153-233-01.jpg,Thermaltake,https://www.newegg.com/thermaltake-smart-500w-ps-spd-0500npcwus-w/p/N82E16817153233,Thermaltake Smart Series 500W SLI/CrossFire Ready Continuous Power ATX 12V V2.3 / EPS 12V 80 PLUS Certified Active PFC Power Supply Haswell Ready PS-SPD-0500NPCWUS-W,$51,$56.59,8%,Free Shipping,rated 4.3 out of 5,566
https://c1.neweggimages.com/ProductImageCompressAll300/AM7KS2212200KT67Z87.jpg,segotep,https://www.newegg.com/segotep-gm850-white/p/1HU-00Z0-000S2?Item=9SIBGX1JA26875&cm_sp=SP-_-1594530-_-0-_-2-_-9SIBGX1JA26875-_-power supply-_-power|supply-_-17,"Segotep 850W White PCIe 5.0 Full Modular 80 Plus Gold PSU ATX 3.0 Gaming Power Supply, 12VHPWR Cable, 12+4PIN port and Dual 6+2Pin ports for Different Graphics Cards, Silent Fan mode",$115,$139.99,17%,Free Shipping,rated 4.1 out of 5,67
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-300-03.png,Corsair,https://www.newegg.com/corsair-rm750e-cp-9020262-na-750-w/p/N82E16817139307,CORSAIR RM750e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold Efficiency - Modern Standby Support,$99,,,Free Shipping,rated 4.7 out of 5,480
https://c1.neweggimages.com/ProductImageCompressAll300/AVA3S2302080KVFPAF9.jpg,GAMEMAX,https://www.newegg.com/p/1HU-0289-00050?Item=9SIAVA3JSS2745&cm_sp=SP-_-1824688-_-0-_-2-_-9SIAVA3JSS2745-_-power supply-_-power|supply-_-19,"GAMEMAX Rampage Series 850W PCIe 5.0 80 Plus Gold Certified Fully Modular Power Supply, 135mm F.D.B Fan, 105°C Japanese Caps, 10 Year Warranty, GX850, White",$159,,,$9.00 Shipping,rated 4.5 out of 5,180
https://c1.neweggimages.com/ProductImageCompressAll300/AWATS2207260I8VW7AD.jpg,Redragon,https://www.newegg.com/redragon-psu007-850-w/p/1HU-033U-00002?Item=9SIAWATJGY9066&cm_sp=SP-_-1951397-_-0-_-2-_-9SIAWATJGY9066-_-power supply-_-power|supply-_-20,"Redragon PSU007 80+ Gold 850 Watt ATX Fully Modular Power Supply w/ 80 Plus Gold Certified, Compact 160mm Size and Low Noise RGB Fan 0 RPM, 100% Japanese Capacitors, Full Mod Cables",$119,,,Free Shipping,,
https://c1.neweggimages.com/ProductImageCompressAll300/B41TS23070302R5ZU22.jpg,SAMA (Case & Power Supply),https://www.newegg.com/p/1HU-02S6-00021,SAMA 650W Power Supply 80 Plus Gold Full Voltage Full Modular ECO Mode 12V FDB Silent Fan PSU ATX Power for Graphics Cards Black,$84,$84.99,,Free Shipping,rated 4.3 out of 5,8
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-289-01.jpg,Corsair,https://www.newegg.com/corsair-rm1000e-cp-9020264-na-1000-w/p/N82E16817139305,CORSAIR RM1000e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold Efficiency - Modern Standby Support,$161,$179.99,10%,Free Shipping,rated 4.7 out of 5,480
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-278-01.jpg,Corsair,https://www.newegg.com/corsair-rm850-cp-9020232-na-850w/p/N82E16817139278,CORSAIR RM850 CP-9020232-NA 850 W ATX 80 PLUS GOLD Certified Full Modular Power Supply,$139,,,Free Shipping,rated 4.7 out of 5,480
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-271-V01.jpg,Corsair,https://www.newegg.com/corsair-rmx-series-rm750x-cp-9020199-na-750w/p/N82E16817139271,CORSAIR RMx Series (2021) RM750x CP-9020199-NA 750 W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply,$119,,,Free Shipping,rated 4.7 out of 5,567
https://c1.neweggimages.com/ProductImageCompressAll300/17-153-415-V10.jpg,Thermaltake,https://www.newegg.com/thermaltake-toughpower-gx2-gold-ps-tpd-0600nnfagu-2-600w/p/N82E16817153415,Thermaltake Toughpower GX2 80+ Gold 600W SLI/Crossfire Ready Continuous Power ATX 12V V2.4/EPS V2.92 Non Modular Power Supply 5 Year Warranty PS-TPD-0600NNFAGU-2,$67,$69.99,,Free Shipping,rated 4.3 out of 5,566
https://c1.neweggimages.com/ProductImageCompressAll300/17-320-029-06.png,ASUS,https://www.newegg.com/asus-tuf-gaming-1000g-1000-w/p/N82E16817320029,"ASUS TUF Gaming 1000W Gold (1000 Watt, ATX 3.0 Compatible Fully Modular Power Supply, 80+ Gold Certified, Military-grade Components, Dual Ball Bearing, Axial-tech Fan, PCB Coating)",$161,$189.99,14%,Free Shipping,rated 4.7 out of 5,21
https://c1.neweggimages.com/ProductImageCompressAll300/17-438-221-01.jpg,EVGA,https://www.newegg.com/evga-supernova-1000-gt-220-gt-1000-x1-1000w/p/N82E16817438221,"EVGA SuperNOVA 1000 GT, 80 Plus Gold 1000W, Fully Modular, Eco Mode with FDB Fan, 10 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, Power Supply 220-GT-1000-X1",$179,$189.99,5%,Free Shipping,rated 4.6 out of 5,323
https://c1.neweggimages.com/ProductImageCompressAll300/B41TS23071203S0Q38E.jpg,SAMA (Case & Power Supply),https://www.newegg.com/sama-80-plus-1000w-1000-w/p/1HU-02S6-00019,SAMA 1000W Power Supply 80 Plus Gold Full Modular Full Voltage ECO Mode 12V FDB Fan ATX PC PSU for GPU 3090ti 4080 4090 Support PCI-E 5.0 Extension 10 Year Warranty White,$124,,,Free Shipping,rated 4.3 out of 5,8
https://c1.neweggimages.com/ProductImageCompressAll300/17-438-162-Z01.jpg,EVGA,https://www.newegg.com/evga-supernova-750-g5-220-g5-0750-x1-750w/p/N82E16817438162,"EVGA SuperNOVA 750 G5, 80 Plus Gold 750W, Fully Modular, Eco Mode with FDB Fan, 10 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, Power Supply 220-G5-0750-X1",$129,$139.99,7%,Free Shipping,rated 4.6 out of 5,987
